runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2707,2,1,alpha,50,50,100,-3530.11,1688.15,20.8311,29.1689,-3528.4,1687.74,19.652,30.348,4.24997,1472.31,1472.31,0
0,2708,4,1,Li7,50,50,100,-5432.47,-8766.09,40.6181,9.38186,-5432.66,-8766.28,41.2769,8.72306,1.43281,844.1,844.1,0
0,2708,2,1,alpha,50,50,100,-5432.47,-8766.09,40.6181,9.38186,-5431.91,-8765.5,38.6614,11.3386,4.25014,1472.37,1472.37,0
0,2709,4,1,Li7,50,50,100,-2516.63,-9646.43,-10.8856,60.8856,-2516.6,-9646.53,-10.1811,60.1811,1.43171,750.371,840.908,90.5368
0,2709,4,2,Li7,50,50,100,-2516.63,-9646.43,-10.8856,60.8856,-2516.53,-9646.6,-9.15547,59.1555,0.807817,90.5368,90.5368,0
0,2709,2,1,alpha,50,50,100,-2516.63,-9646.43,-10.8856,60.8856,-2516.71,-9646.14,-12.9816,62.9816,4.25064,1472.56,1472.56,0
0,2710,4,1,Li7,50,50,100,7822.48,1644.38,-6.8431,56.8431,7821.82,1644.49,-7.09664,57.0966,1.43142,840.038,840.038,0
0,2710,2,1,alpha,50,50,100,7822.48,1644.38,-6.8431,56.8431,7824.43,1644.08,-6.08589,56.0859,4.25024,1472.4,1472.4,0
0,2713,4,1,Li7,50,50,100,5907.02,4470.49,14.6153,35.3847,5906.96,4470.93,15.1747,34.8253,1.4306,837.657,837.657,0
0,2713,2,1,alpha,50,50,100,5907.02,4470.49,14.6153,35.3847,5907.17,4469.19,12.9554,37.0446,4.24977,1472.23,1472.23,0
0,2714,4,1,Li7,50,50,100,-92.9943,-7770.62,40.4853,9.5147,-92.9448,-7769.93,40.6357,9.3643,1.43247,843.12,843.12,0
0,2714,2,1,alpha,50,50,100,-92.9943,-7770.62,40.4853,9.5147,-93.139,-7772.68,40.0304,9.96964,4.25025,1472.41,1472.41,0
